parent_module,source_line,source_loop_context,instance_name_expression,child_module,child_pin_index,child_pin_name,parent_net_expression,normalized_parent_net,branch_condition,active_for_config,condition_evaluation,condition_input_values,condition_evaluation_source
TIME,591,,'inv_clk_bar',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,591,,'inv_clk_bar',PINV,2,A,clk_buf,clk_buf,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,591,,'inv_clk_bar',PINV,3,Z,clk_bar,clk_bar,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,598,,'dff_buf',DFF_BUF,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,598,,'dff_buf',DFF_BUF,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,598,,'dff_buf',DFF_BUF,2,D,csb,csb,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,598,,'dff_buf',DFF_BUF,3,Q,cs_bar,cs_bar,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,598,,'dff_buf',DFF_BUF,4,QB,cs,cs,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
TIME,598,,'dff_buf',DFF_BUF,5,CLK,clk_buf,clk_buf,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",TIME
DFF_BUF,288,,'dff',DFF,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,288,,'dff',DFF,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,288,,'dff',DFF,2,D,D,D,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,288,,'dff',DFF,3,Q,qint,qint,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,288,,'dff',DFF,4,CLK,CLK,CLK,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,292,,'inv1',PINV,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,292,,'inv1',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,292,,'inv1',PINV,2,A,qint,qint,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,292,,'inv1',PINV,3,Z,QB,QB,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,296,,'inv2',PINV,0,VDD,VDD,VDD,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,296,,'inv2',PINV,1,VSS,VSS,VSS,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,296,,'inv2',PINV,2,A,QB,QB,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
DFF_BUF,296,,'inv2',PINV,3,Z,Q,Q,,True,ALWAYS_ACTIVE,"{""num_cols"": 16, ""num_rows"": 16, ""operation"": ""read&write""}",DFF_BUF
